ph,EC,label
6.6,0.251,wheat
6.3,0.397,wheat
6.1,0.283,wheat
6.7,0.33,wheat
6.3,0.82,wheat
6.2,0.212,wheat
6.6,0.469,wheat
6.1,0.649,wheat
6.2,0.266,wheat
6.9,0.251,wheat
6.6,0.397,wheat
6.1,0.283,wheat
7,0.33,wheat
6.1,0.81,wheat
6.2,0.21,wheat
6.5,0.469,wheat
6.1,0.648,wheat
6.3,0.266,wheat
6.7,0.255,wheat
6.5,0.397,wheat
6.7,0.283,wheat
6.8,0.52,wheat
6.5,0.82,wheat
6.7,0.21,wheat
6,0.469,wheat
6.4,0.649,wheat
6.5,0.261,wheat
6,0.251,wheat
6.2,0.397,wheat
6.1,0.283,wheat
6.1,0.33,wheat
6.4,0.82,wheat
6.8,0.212,wheat
6.2,0.469,wheat
6.4,0.649,wheat
6.8,0.266,wheat
6.3,0.251,wheat
6.5,0.397,wheat
6.3,0.283,wheat
6.6,0.33,wheat
6,0.82,wheat
6.2,0.212,wheat
6.8,0.469,wheat
6,0.649,wheat
7,0.266,wheat
6.9,0.251,wheat
6.3,0.397,wheat
6.1,0.283,wheat
6.1,0.33,wheat
6.8,0.82,wheat
6.6,0.212,wheat
6.2,0.469,wheat
6.3,0.649,wheat
6.6,0.266,wheat
6.6,0.251,wheat
6.8,0.397,wheat
6.9,0.283,wheat
6.1,0.33,wheat
6.7,0.82,wheat
6,0.212,wheat
6.9,0.469,wheat
6.3,0.649,wheat
6.1,0.266,wheat
6.3,0.251,wheat
6.3,0.397,wheat
6.9,0.283,wheat
6.5,0.33,wheat
6.5,0.82,wheat
6.5,0.212,wheat
6.9,0.469,wheat
6.1,0.649,wheat
7,0.266,wheat
6.2,0.251,wheat
6.2,0.397,wheat
6.1,0.283,wheat
6.5,0.33,wheat
6.9,0.82,wheat
7,0.212,wheat
6.4,0.469,wheat
6.1,0.649,wheat
6.4,0.266,wheat
6.1,0.251,wheat
6.3,0.397,wheat
6.7,0.283,wheat
7,0.33,wheat
7,0.82,wheat
6.8,0.212,wheat
6,0.469,wheat
6.9,0.649,wheat
6.6,0.266,wheat
6.2,0.251,wheat
6,0.397,wheat
6.5,0.283,wheat
6.6,0.21,wheat
6.5,0.7,wheat
5.953933276,0.82,rice
5.85393208,0.4,rice
6.442475375,0.593,rice
5.070175667,0.716,rice
6.012632591,0.557,rice
6.254028451,0.622,rice
7.375482851,0.659,rice
7.778915154,0.731,rice
6.286500176,0.772,rice
7.070959995,0.284,rice
6.244841491,0.256,rice
6.043304899,0.112,rice
5.824709117,0.22,rice
6.357389366,0.324,rice
6.364134968,0.367,rice
5.01450727,0.374,rice
6.149410611,0.344,rice
5.950660556,0.33,rice
5.960370061,0.12,rice
5.561398642,0.71,rice
7.416245107,0.4,rice
5.583370042,0.593,rice
6.430010215,0.716,rice
5.534878156,0.557,rice
6.903985986,0.622,rice
6.271478838,0.659,rice
7.224285503,0.731,rice
6.13428721,0.772,rice
5.206373153,0.284,rice
7.782051313,0.256,rice
7.062779015,0.112,rice
7.730367824,0.22,rice
5.286203711,0.324,rice
6.766240045,0.367,rice
7.382762603,0.374,rice
5.658169482,0.344,rice
5.543360238,0.33,rice
6.215109715,0.12,rice
7.120272972,0.71,rice
5.950647577,0.4,rice
7.236705436,0.593,rice
6.501697816,0.716,rice
7.592490617,0.557,rice
5.875345751,0.622,rice
6.932400225,0.659,rice
6.946209881,0.731,rice
5.739175027,0.772,rice
6.738652179,0.284,rice
5.594819626,0.256,rice
6.946636369,0.112,rice
5.012139669,0.22,rice
